Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,salary,benefits_401k,stocks,date_posted,Unnamed: 0
(USA) Data Engineer III,Walmart,Hayward,ZipRecruiter,Full-time and Part-time,provided,provided,"[2, 4, 2]","['$117000.00', '$234000.00']",provided,provided,7 days ago,9.0
Data Engineer,InterSources Inc,Santa Clara,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,10.0
Data Engineer III,Sam's Club,Sunnyvale,Indeed,Full-time and Part-time,provided,provided,"[2, 3, 2, 4, 2]",117K–234K a year,provided,provided,16 days ago,11.0
Data Engineer IV,Crystal Equation,Sunnyvale,Crystal Equation,Full-time,provided,provided,0,"['$83', '$88']",provided,provided,1 month ago,12.0
"(USA) Senior, Data Engineer",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,provided,provided,"[8, 4, 6, 2, 3, 4]","['$108000.00', '$216000.00']",provided,provided,1 month ago,13.0
HealthTech Data Pipeline Engineer,Carex Consulting Group,Palo Alto,Carex Consulting Group,Full-time,Not mentioned,Not mentioned,[4],,provided,provided,12 days ago,14.0
Data Engineer (Databricks),NTT DATA,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,provided,provided,"[6, 8]",85–95 an hour,provided,provided,10 days ago,15.0
"Senior Software Engineer, Data Engineering",DoorDash,Sunnyvale,LinkedIn,Full-time,provided,provided,"[5, 3, 3, 3]","['$119100', '$175100']",provided,provided,4 days ago,16.0
"Engineer III, Data Engineering",Samsung Electronics America,Mountain View,The Muse,Full-time,provided,provided,0,,provided,provided,1 month ago,17.0
Senior Data Engineer,Pivotal Talent Search,Oakland,ZipRecruiter,Full-time,Not mentioned,Not mentioned,[5],,Not mentioned,Not mentioned,1 day ago,18.0
Senior Software Engineer - Data Engineer,NVIDIA,Santa Clara,JobzMall,Full-time,Not mentioned,Not mentioned,0,120K–150K a year,Not mentioned,Not mentioned,1 month ago,19.0
Sr. Data Engineer,Saxon Global,South San Francisco,Lensa,Full-time,Not mentioned,Not mentioned,[6],,provided,provided,13 days ago,20.0
Data Engineer (San Francisco),Free Streaming Content,San Francisco,Adzuna,Full-time,Not mentioned,Not mentioned,[3],,provided,provided,1 month ago,21.0
"Staff Data Engineer, Infrastructure",ASAPP,Mountain View,Lever,Full-time,Not mentioned,Not mentioned,"[12, 5]",,provided,provided,19 days ago,22.0
Platform Data Engineer,BayOne,San Jose,Glassdoor,Full-time,Not mentioned,Not mentioned,[5],,Not mentioned,provided,24 days ago,23.0
Bioinformatics Data Engineer,Revolution Medicines,Anywhere • via VentureLoop,VentureLoop,Full-time,provided,Not mentioned,[3],"['$120000', '$145000']",Not mentioned,provided,19 days ago,24.0
Senior Data Engineer: 24-01769,Akraya Inc.,Sunnyvale,Akraya,Full-time,Not mentioned,Not mentioned,"[5, 1]","['$68', '$75']",provided,provided,9 days ago,25.0
Data Engineer,Moody's Corporation,Newark,Learn4Good,Contractor,provided,provided,[2],60K–80K a year,provided,provided,1 month ago,26.0
Looking for Principal Big Data Engineer,Xoriant Corporation,Santa Clara,Dice,Full-time,Not mentioned,Not mentioned,"[3, 3, 3]",70–80 an hour,provided,provided,30 days ago,27.0
Senior/Staff Data Engineer,"Gatik AI, Inc.",Mountain View,Ladders,Full-time and Part-time,Not mentioned,Not mentioned,"[5, 7]",120K–180K a year,provided,provided,1 month ago,28.0
Data Engineer,Walmart,San Leandro,Prime Job Seekers,Full-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,29.0
Cloud Data Engineer,Ford Motor,Palo Alto,JobzMall,Full-time and Contractor,Not mentioned,Not mentioned,0,114K–152K a year,provided,provided,1 month ago,30.0
Data Engineer W2 Locals,Finezi,Oakland,Glassdoor,Full-time,provided,provided,0,90–100 an hour,provided,Not mentioned,10 days ago,31.0
Staff Data Platform Engineer,ClassDojo,San Francisco,Greenhouse,Full-time,Not mentioned,Not mentioned,[7],"['$171500', '$244000']",provided,Not mentioned,1 month ago,32.0
Sr. Data Engineer I,Cars Commerce,San Francisco,Taro,Full-time,Not mentioned,Not mentioned,0,131K–164K a year,Not mentioned,provided,1 month ago,33.0
Senior/Staff Software Engineer - Simulation Data Platform,Zoox,Foster City,Lever,Full-time,provided,provided,[5],"['$203000', '$293000']",Not mentioned,provided,1 month ago,34.0
Senior Software Engineer - Machine Learning Infrastructure - Apple Maps,Apple,Cupertino,Careers At Apple,Full-time,provided,provided,[10],"['$175800', '$312200']",provided,provided,23 hours ago,35.0
Specialist - Data Engineering,LTIMindtree,San Jose,Indeed,Full-time,provided,provided,0,90K–110K a year,provided,provided,1 month ago,36.0
[Data Engineer] Staff Database Administrator (PostgreSQL – Performance Tuning Expert Expert),Agoda,San Jose,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,provided,Not mentioned,5 days ago,37.0
Snowflake Data Engineer,Tata Consultancy Services,Sunnyvale,Ladders,Full-time and Part-time,Not mentioned,Not mentioned,[8],"121,217–161,623 a year",provided,provided,9 days ago,38.0
Data Engineer,Walmart,Milpitas,Prime Job Seekers,Full-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,39.0
IT Data and Analytics Engineer,SAP,Stanford,Adzuna,Full-time,provided,Not mentioned,"[5, 3, 1]","110,689–168,390 a year",provided,provided,1 month ago,40.0
Senior/Staff Data Engineer,Balbix,San Jose,Lever,Full-time,provided,provided,[3],,Not mentioned,provided,1 month ago,41.0
"Data Engineer, Global Payments - USDS",TikTok,Mountain View,Indeed,Full-time,provided,provided,0,116K–250K a year,Not mentioned,provided,1 month ago,42.0
"Computational Biologist & Engineer in Genomics (Engreitz Lab, Research Data Analyst 1)",School of Medicine,Stanford,Stanford Medicine - Stanford University,Contractor,Not mentioned,Not mentioned,0,"['$66560', '$97000']",Not mentioned,provided,1 month ago,43.0
Data Engineer,Insight Global,San Francisco,Insight Global,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,44.0
Data engineering lead,Roche,South San Francisco,Talent.com,Full-time,Not mentioned,Not mentioned,"[12, 7, 7]",,Not mentioned,Not mentioned,4 days ago,45.0
Product Data Engineer,xAI,San Francisco,Ladders,Full-time,Not mentioned,Not mentioned,0,180K–500K a year,Not mentioned,Not mentioned,2 days ago,46.0
Security Data Engineer,Blizzard Entertainment,Foster City,JobzMall,Full-time,Not mentioned,Not mentioned,0,110K–172K a year,Not mentioned,provided,1 month ago,47.0
Lead Data Engineer- GenAI,Visa,Foster City,ZipRecruiter,Full-time,provided,provided,"[8, 3]",,Not mentioned,provided,16 hours ago,48.0
Data Engineer- Data Bricks- Hybrid CA,Zortech Solutions,Mountain View,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,29 days ago,49.0
"Senior Data Scientist, ASE iCloud Data Organization [Executive Communications]",Apple,Cupertino,Careers At Apple,Full-time,provided,provided,[5],"['$175800', '$312200']",Not mentioned,provided,1 month ago,50.0
Senior Data Infrastructure Engineer,Webflow,San Francisco,Taro,Full-time,Not mentioned,Not mentioned,0,158K–218K a year,provided,provided,11 days ago,51.0
"Principal Engineer, Developer Platform APIs",Snowflake,San Mateo,Snowflake Careers,Full-time,provided,provided,[10],"['$235000', '$368000']",provided,provided,23 hours ago,52.0
Sr. Big Data Engineer (Sunnyvale),Zenith Services,San Bruno,Glassdoor,Full-time and Part-time,Not mentioned,Not mentioned,0,80 an hour,provided,provided,1 month ago,53.0
Data Engineer,Walmart,Livermore,Prime Job Seekers,Full-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,54.0
Data Platform Engineer (US),Onehouse,Sunnyvale,Lever,Full-time,provided,provided,"[3, 2]","['$150000', '$220000']",provided,provided,1 month ago,55.0
Big Data Engineer,Veear Projects Inc,Santa Clara,ZipRecruiter,Full-time,Not mentioned,Not mentioned,[3],,provided,provided,26 days ago,56.0
Data Engineer (Databricks),NTT DATA,Santa Clara,Indeed,Full-time,provided,provided,"[6, 8]",85–95 an hour,provided,Not mentioned,10 days ago,57.0
Apache Airflow Data Engineer,InterSources Inc,Santa Clara,LinkedIn,Full-time,Not mentioned,Not mentioned,[3],,provided,Not mentioned,1 month ago,58.0
"Data Engineer, Ads",Unity,San Francisco,JobzMall,Full-time,Not mentioned,Not mentioned,0,90K–150K a year,Not mentioned,provided,1 month ago,59.0
Lead Data Engineer,Disney Entertainment & ESPN Technology,San Francisco,Disney Careers,Full-time,provided,Not mentioned,[7],,provided,provided,1 month ago,60.0
"Solutions Architect, Data Engineering & Snowpark",Snowflake,California • via Snowflake Careers,Snowflake Careers,Full-time,provided,provided,[6],"['$147000', '$204700']",provided,provided,23 hours ago,61.0
"Drive Integration Engineer, Electronics, Manufacturing Test",Western Digital,San Jose,Smart Recruiters Jobs,Full-time,provided,provided,[2],,provided,provided,10 days ago,62.0
"Senior Software Engineer - Storage, Redshift",Amazon,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,63.0
Data Platform Engineer,Figure Markets,Anywhere • via Indeed,Indeed,Full-time,provided,provided,"[6, 5, 3]","102,960–128,700 a year",provided,provided,1 month ago,64.0
Senior Analytics Engineer,"Motion Recruitment Partners, LLC",San Jose,Dice,Full-time,provided,provided,"[5, 2]",160–200 an hour,provided,provided,1 month ago,65.0
Data Engineer - Growth Insights and Foundations,Netflix,Los Angeles,ShowbizJobs,Full-time and Part-time,provided,provided,0,170K–720K a year,provided,provided,1 month ago,66.0
DATA ENGINEER III - DATA VENTURES,Walmart,Los Altos,Prime Job Seekers,Full-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,67.0
Senior Data Engineer,Zoox,Foster City,ZipRecruiter,Full-time,provided,provided,0,"['$143000', '$245000']",provided,provided,1 month ago,68.0
Data Scientist and AI Engineer,SKT Lab,Santa Clara,Indeed,Full-time,Not mentioned,Not mentioned,[5],,Not mentioned,provided,1 month ago,69.0
Senior Data Engineer - BPR Insight,Apple,Elk Grove,Careers At Apple,Full-time,provided,provided,[8],"['$187000', '$280800']",Not mentioned,provided,1 month ago,70.0
Head of Data Engineering,"Samsung Electronics America, Inc.",Mountain View,ZipRecruiter,Full-time,provided,Not mentioned,"[18, 7, 7, 7]","['$275500', '$325000']",Not mentioned,provided,12 days ago,71.0
Data Analytics and Engineering Sr. Manager,Motion Recruitment,Los Angeles,Motion Recruitment,Full-time,Not mentioned,Not mentioned,[5],140K–200K a year,Not mentioned,Not mentioned,2 days ago,72.0
Data Engineer,Robert Half,Torrance,Robert Half,Full-time,Not mentioned,Not mentioned,0,58–60 an hour,Not mentioned,Not mentioned,17 days ago,73.0
"Lead Data Engineer, Data Platform","Tubi, Inc.",Anywhere • via Karkidi,Karkidi,Full-time,Not mentioned,Not mentioned,"[7, 2]",120K–190K a year,Not mentioned,Not mentioned,1 month ago,74.0
Lead Data Architect / Engineer,Alldus,San Francisco,LinkedIn,Full-time and Part-time,Not mentioned,Not mentioned,[5],,Not mentioned,provided,11 days ago,75.0
Data Defense Solutions Engineer,TikTok,San Jose,Indeed,Full-time,provided,provided,0,147K–270K a year,provided,provided,1 month ago,76.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Santa Clara,Prime Job Seekers,Full-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,77.0
Electrical/Data Engineer,DCS Corp,Ridgecrest,DCS Corp,Full-time,Not mentioned,Not mentioned,"[5, 4, 2]","['$79616', '$110000']",provided,provided,14 days ago,78.0
Staff Data Platform Engineer,ClassDojo,San Francisco,Jooble,Full-time,Not mentioned,Not mentioned,[7],"['$171500', '$244000']",Not mentioned,Not mentioned,1 month ago,79.0
Data Engineer,Guitar Center,Westlake Village,Glassdoor,Full-time,Not mentioned,Not mentioned,[5],116K–130K a year,Not mentioned,Not mentioned,1 month ago,80.0
Data Techno-Functional Engineer,BayOne,Pleasanton,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,81.0
Lead Data Engineer,Pacific Life Insurance Company,Newport Beach,Workday,Full-time,provided,provided,0,,provided,provided,9 days ago,82.0
Sr. Data Engineer (Platform),GoodRx,Anywhere • via Built In NYC,Built In NYC,Full-time,provided,provided,"[8, 8]",121K–257K a year,provided,provided,15 days ago,83.0
Data Engineer I,GumGum,Santa Monica,Greenhouse,Full-time and Part-time,provided,Not mentioned,"[1, 2]","['$119000', '$137000']",provided,provided,1 month ago,84.0
Software / Data Engineer (1399),Zapata Technology,Del Rey Oaks,Adzuna,Full-time,Not mentioned,Not mentioned,[4],105K–138K a year,provided,provided,3 days ago,85.0
Senior Data Engineer,Walmart,Danville,Prime Job Seekers,Contractor,provided,provided,"[7, 10, 3, 5, 1, 2, 3]","['$117000.00', '$234000.00']",provided,provided,6 days ago,86.0
Business Intelligence Engineer,Amazon,Cupertino,LinkedIn,Full-time,provided,provided,[3],"['$74100', '$165600']",provided,provided,11 days ago,87.0
Data Solutions Engineer,"Softworld, Inc.",Sacramento,"Softworld, Inc.","Full-time, Part-time, and Contractor",Not mentioned,Not mentioned,0,,provided,provided,5 days ago,88.0
"W2 Role _ (Agile1) Data Engineer_ Oakland, CA",Cadre Technologies Services LLC,Piedmont,ZipRecruiter,Full-time,Not mentioned,Not mentioned,"[3, 5, 2, 3]",,Not mentioned,Not mentioned,5 days ago,89.0
Data Engineer,Wipro Limited,Sacramento,OPTnation,Full-time,Not mentioned,Not mentioned,[3],125K–135K a year,Not mentioned,Not mentioned,1 month ago,90.0
Director of Data Engineering & Analytics,Wellth,Marina Del Rey,Greenhouse,Full-time,provided,provided,"[7, 3, 5, 5, 5, 5]",['$200000'],Not mentioned,Not mentioned,1 month ago,91.0
Sr. Data Engineer with AWS experience,AVM Consulting,Anywhere • via Built In Los Angeles,Built In Los Angeles,Full-time,Not mentioned,Not mentioned,[5],100K–220K a year,Not mentioned,Not mentioned,13 days ago,92.0
Staff Data Engineer II,Insight Global,Los Angeles,Insight Global,Full-time and Part-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,93.0
Data Engineer (L5) - Content Machine Learning,"Netflix, Inc.",Los Angeles,Dice.com,Full-time,provided,provided,[4],"['$170000', '$720000']",provided,provided,1 month ago,94.0
Data Engineer,Walmart,Half Moon Bay,Prime Job Seekers,Full-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,95.0
Senior Software Engineer - FDB Performance,Snowflake,San Mateo,Snowflake Careers,Full-time,Not mentioned,Not mentioned,[8],,provided,provided,2 days ago,96.0
Data Engineer,Robert Half,Calabasas,Job,Full-time,Not mentioned,Not mentioned,0,['$140'],Not mentioned,Not mentioned,3 days ago,97.0
10453 - Data Engineer I,Hyundai Autoever America,Fountain Valley,Dice.com,Full-time,Not mentioned,Not mentioned,0,"['$69390', '$90200']",Not mentioned,Not mentioned,12 days ago,98.0
Data engineers - Graph DB,Futran Tech Solutions Pvt. Ltd.,Sunnyvale,ZipRecruiter,Full-time,Not mentioned,Not mentioned,[8],,Not mentioned,Not mentioned,1 month ago,99.0
Data Engineer,ScaleneWorks,Aliso Viejo,Jooble,Full-time and Part-time,Not mentioned,Not mentioned,"[4, 4]",['$ 70000.00'],Not mentioned,Not mentioned,7 days ago,100.0
Data Engineer,Planck Technology,California City,OPTnation,Contractor,Not mentioned,Not mentioned,"[4, 4]",80K–100K a year,Not mentioned,Not mentioned,1 month ago,101.0
"SENIOR, DATA ENGINEER - DATA VENTURES",Walmart,Santa Clara,Prime Job Seekers,Full-time,provided,provided,0,,Not mentioned,Not mentioned,6 days ago,102.0
Data Migration Consultant- Data Engineer,Snappyhires,Sacramento,Glassdoor,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,29 days ago,103.0
"Data Engineer , Stores FinTech",Amazon,La Puente,Ladders,Full-time,Not mentioned,Not mentioned,[1],"90,913–131,319 a year",provided,provided,1 month ago,104.0
"Principal Data Engineer, Platform",LeafLink,Los Angeles,Adzuna,"Full-time, Part-time, and Contractor",provided,provided,[10],,provided,provided,1 month ago,105.0
Senior Lead Data Engineer,Anywhere Real Estate,Riverside,Get.It,Full-time and Part-time,provided,provided,"[7, 5, 7, 5, 7, 7]",,provided,provided,11 days ago,106.0
Azure Data Engineer,VISART,Claremont,OPTnation,Full-time,Not mentioned,Not mentioned,"[7, 5]",107K–107K a year,provided,provided,1 month ago,107.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Danville,Prime Job Seekers,Full-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,108.0
"Data Engineer, Amazon Smart Vehicles",Amazon,Irvine,LinkedIn,Full-time and Part-time,provided,Not mentioned,[1],"['$91200', '$185000']",provided,provided,11 days ago,109.0
Data Engineer Lead,ASR Analytics,Rancho Cordova,Ladders,Contractor,Not mentioned,Not mentioned,"[5, 5, 3]",150K–170K a year,Not mentioned,provided,1 month ago,110.0
"SENIOR, DATA ENGINEER - DATA VENTURES",Walmart,Atherton,Prime Job Seekers,"Full-time, Part-time, and Contractor",provided,provided,0,,Not mentioned,Not mentioned,6 days ago,111.0
Entry Level Developer/Coder/Programmer/Data Scientist/Analyst/Engineer,SynergisticIT,Rialto,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,112.0
Data Engineer / Data Analyst,SystemoneX Inc,California City,OPTnation,Full-time,Not mentioned,Not mentioned,"[1, 2]",,Not mentioned,Not mentioned,1 month ago,113.0
Data Engineer - Anaheim,Robert Half,Anaheim,Jobted,Full-time,Not mentioned,Not mentioned,"[3, 4, 1, 2, 5]",,Not mentioned,Not mentioned,11 days ago,114.0
Senior Data Engineer - Snowflake (Data Warehousing),Moss Adams LLP,Woodland Hills,WhatJobs,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,5 days ago,115.0
Business Intelligence Data Engineer,MotorTrend Group,El Segundo,Ladders,Full-time,Not mentioned,Not mentioned,[4],187K–200K a year,Not mentioned,Not mentioned,1 month ago,116.0
DATA ENGINEER,VSolvit,Norco,Indeed,Full-time,provided,provided,[5],90K–105K a year,Not mentioned,Not mentioned,1 month ago,117.0
Data Engineer,The Guitar Center Company,Westlake Village,LinkedIn,Full-time and Part-time,Not mentioned,Not mentioned,[5],"['$116000', '$130000']",Not mentioned,Not mentioned,24 days ago,118.0
Data Engineer,AltaMed Health Services,Montebello,Learn4Good,Full-time,provided,provided,[5],80K–100K a year,provided,provided,1 month ago,119.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Lafayette,Prime Job Seekers,Full-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,120.0
Software and Data Engineer,TGS Management Company,Irvine,Indeed,Full-time and Part-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,121.0
"Director, Data Engineering",The Walt Disney Company,Santa Monica,LinkedIn,Full-time,provided,Not mentioned,[12],,provided,provided,6 days ago,122.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Los Gatos,Prime Job Seekers,Full-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,123.0
Big Data Engineer,Cotocus,Sacramento,Indeed,Full-time,Not mentioned,Not mentioned,[6],,provided,provided,1 month ago,124.0
Sr. Data Engineer,Frontend Arts,Gold Beach,Ladders,Full-time,Not mentioned,Not mentioned,0,"121,217–161,623 a year",Not mentioned,provided,22 days ago,125.0
Senior/Staff Data Engineer,Sift,El Segundo,LinkedIn,Full-time and Part-time,provided,provided,[7],,Not mentioned,provided,12 days ago,126.0
Network Data Engineer,ACL Digital,Los Angeles,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,127.0
DATA ENGINEER III - DATA VENTURES,Walmart,Portola Valley,Prime Job Seekers,Full-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,128.0
Knowledge Graph / Data Engineering - Manager,PwC,California • via LinkedIn,LinkedIn,Full-time,provided,provided,[5],"['$100000', '$232000']",provided,provided,9 days ago,129.0
Data Engineer,Ensign Services,San Juan Capistrano,Indeed,Full-time,provided,provided,[3],90K–130K a year,provided,provided,25 days ago,130.0
AWS Data Engineer,"UNICON International, Inc.",Torrance,ZipRecruiter,Full-time and Part-time,provided,provided,"[10, 5, 3]","['$142', '$152']",provided,provided,24 days ago,131.0
Network Data Engineer,Calsoft Labs,Los Angeles,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,Not mentioned,1 month ago,132.0
"SENIOR, DATA ENGINEER - DATA VENTURES",Walmart,Lafayette,Prime Job Seekers,Full-time and Part-time,provided,provided,0,,Not mentioned,Not mentioned,6 days ago,133.0
Data Analyst/Engineer,PragerU,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,provided,Not mentioned,"[4, 3]","['$135000', '$150000']",provided,provided,8 days ago,134.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Pleasant Hill,Prime Job Seekers,Full-time and Part-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,135.0
Senior Telecom Engineer - Data Center - Hybrid (Flexible Location),Jacobs,Pasadena,LinkedIn,Full-time,Not mentioned,Not mentioned,[8],,provided,provided,1 month ago,136.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Orinda,Prime Job Seekers,Full-time and Part-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,137.0
Data Engineering Intern,Pacific Life,Newport Beach,LinkedIn,Full-time and Part-time,Not mentioned,Not mentioned,0,"['$25.00', '$30.00']",provided,provided,17 days ago,138.0
DATA ENGINEER III - DATA VENTURES,Walmart,South San Francisco,Prime Job Seekers,Full-time and Part-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,139.0
"SENIOR, DATA ENGINEER - DATA VENTURES",Walmart,Campbell,Prime Job Seekers,Full-time and Part-time,provided,provided,0,,provided,provided,6 days ago,140.0
"Group Director, Software Engineering - Transactional Systems Revenue and Data Intelligence",Walmart,Milpitas,ZipRecruiter,Full-time and Part-time,provided,provided,"[10, 8, 10, 5, 6]",254K–481K a year,provided,provided,13 days ago,141.0
DATA ENGINEER III - DATA VENTURES,Walmart,Brisbane,Prime Job Seekers,Full-time and Part-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,142.0
DATA ENGINEER III - DATA VENTURES,Walmart,Tracy,Prime Job Seekers,Full-time and Part-time,provided,provided,"[2, 4, 2]",,provided,provided,6 days ago,143.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Capitola,Prime Job Seekers,Full-time and Part-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,144.0
"SENIOR, DATA ENGINEER - DATA VENTURES",Walmart,Santa Cruz,Prime Job Seekers,Full-time and Part-time,provided,provided,0,,provided,provided,6 days ago,145.0
"(USA) SENIOR, DATA ENGINEER",Walmart,Morgan Hill,Prime Job Seekers,Full-time and Part-time,provided,provided,"[5, 7, 3, 5, 1, 2, 3]",,provided,provided,6 days ago,146.0
"SENIOR, DATA SCIENTIST - MACHINE LEARNING ENGINEER",Walmart,Portola Valley,Prime Job Seekers,Full-time and Part-time,provided,provided,"[3, 1, 3, 5]","['$117000.00', '$234000.00']",provided,provided,6 days ago,147.0
"SENIOR, DATA SCIENTIST - MACHINE LEARNING ENGINEER",Walmart,Daly City,Prime Job Seekers,Full-time and Part-time,provided,provided,"[3, 1, 3, 5]","['$117000.00', '$234000.00']",provided,provided,6 days ago,148.0
SOFTWARE ENGINEER III- BACK END DATA,Walmart,South San Francisco,Prime Job Seekers,"Full-time, Part-time, and Internship",provided,provided,"[3, 5, 1, 3, 2, 4]","['$117000.00', '$234000.00']",provided,provided,6 days ago,149.0
"SENIOR, SOFTWARE ENGINEER (BACKEND BIG DATA)",Walmart,Alameda,Prime Job Seekers,Full-time and Part-time,provided,provided,"[2, 3, 1, 2, 3, 5]",,provided,provided,6 days ago,150.0
"(USA) SENIOR, DATA SCIENTIST (COMPUTER VISION ENGINEER)",Walmart,Oakland,Prime Job Seekers,Full-time and Part-time,provided,provided,"[2, 3, 1, 3, 5]","['$117000.00', '$234000.00']",provided,provided,6 days ago,151.0
Junior Data Scientist,Hello Lilly Labs,San Francisco,LinkedIn,Full-time,Not mentioned,Not mentioned,0,,Not mentioned,provided,1 day ago,152.0
ML - Data Scientist,Apple,Sunnyvale,Careers At Apple,Full-time,provided,provided,[4],"['$143100', '$264200']",Not mentioned,provided,4 days ago,153.0
"Data Scientist, Square Point of Sale",Block,San Francisco,LinkedIn,Full-time,Not mentioned,Not mentioned,[3],"['$142000', '$213000']",provided,provided,24 hours ago,154.0
Senior Data Scientist,Walmart,Union City,Prime Job Seekers,Full-time and Part-time,provided,provided,"[3, 1, 3, 5]","['$117000.00', '$234000.00']",provided,provided,5 days ago,155.0
data scientist (entry level),SynergisticIT,Fremont,ZipRecruiter,Full-time,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,156.0
"Data Scientist, Data Strategy and Analytics",Abbott Laboratories,Alameda,Abbott Jobs,Full-time,provided,Not mentioned,"[8, 10]","['$144100.00', '$288300.00']",Not mentioned,Not mentioned,4 days ago,157.0
Data Scientist,Info Way Solutions,Fremont,LinkedIn,Full-time,Not mentioned,Not mentioned,"[4, 2, 2, 1, 1, 3, 3]",,Not mentioned,Not mentioned,1 month ago,158.0
Sr Data Scientist,Fanatics,San Mateo,Ladders,Full-time,Not mentioned,Not mentioned,[4],152K–190K a year,Not mentioned,provided,2 days ago,159.0
"Data Scientist, WW Demand Planning",Apple,Sunnyvale,Careers At Apple,Full-time,provided,provided,0,"['$165500', '$248700']",Not mentioned,provided,17 days ago,160.0
"Data Scientist, TikTok Risk Issues - San Jose",TikTok,San Jose,LinkedIn,Full-time,provided,provided,0,"['$144000', '$240000']",Not mentioned,provided,3 days ago,161.0
Data Scientist Jobs,Turing.com,Anywhere • via Turing,Turing,Full-time,Not mentioned,Not mentioned,[3],,provided,provided,7 days ago,162.0
"Senior, Data Scientist - Advertising Measurement",Walmart,Fremont,ZipRecruiter,Full-time and Part-time,provided,provided,"[3, 1, 3, 5]",108K–234K a year,provided,provided,5 days ago,163.0
"Senior Staff Data Scientist, Product",Google,Sunnyvale,LinkedIn,Full-time,provided,Not mentioned,"[13, 10]","['$214000', '$305000']",provided,provided,3 days ago,164.0
Lead Biomedical Informatics Data Scientist,Stanford Health Care,Redwood City,LinkedIn,Full-time,Not mentioned,Not mentioned,[6],"['$64.58', '$85.57']",Not mentioned,provided,2 days ago,165.0
ML Data Scientist - Computer Vision,Apple,Sunnyvale,Careers At Apple,Full-time,provided,provided,[3],"['$143100', '$264200']",provided,provided,1 month ago,166.0
"SENIOR, DATA SCIENTIST - MACHINE LEARNING ENGINEER",Walmart,Union City,Prime Job Seekers,Full-time and Part-time,provided,provided,"[3, 1, 3, 5]","['$117000.00', '$234000.00']",provided,provided,6 days ago,167.0
Data Scientist,Natera,San Carlos,Glassdoor,Full-time,provided,provided,[2],"103,600–129,450 a year",provided,provided,9 days ago,168.0
Junior Data Scientist/Analyst (Remote),SynergisticIT,Fremont,LinkedIn,Contractor,Not mentioned,Not mentioned,0,,provided,provided,1 month ago,169.0
"Senior, Data Scientist, Machine Learning Platform",Walmart,Sunnyvale,Walmart Careers,Full-time and Part-time,provided,provided,"[3, 1, 3, 5]","['$117000.00', '$234000.00']",provided,provided,27 days ago,170.0
"Senior Data Scientist, Finance",Snowflake,San Mateo,Snowflake Careers,Full-time,provided,provided,0,"['$148000', '$218500']",provided,provided,23 hours ago,171.0
